State_Name,Diocese,Diocese_Detail,County_Name,Population,Percent_Catholic
Florida,Orlando,Orlando,Osceola County,,
Florida,Orlando,Orlando,Polk County,,
Florida,Orlando,Orlando,Seminole County,,
Florida,Orlando,Orlando,Sumter County,,
Florida,Orlando,Orlando,Volusia County,,
Florida,Palm Beach,Palm Beach,Indian River County,,
Florida,Palm Beach,Palm Beach,Martin County,,
Florida,Palm Beach,Palm Beach,Okeechobee County,,
Florida,Palm Beach,Palm Beach,Palm Beach County,,
Florida,Palm Beach,Palm Beach,St. Lucie County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Bay County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Calhoun County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Escambia County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Franklin County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Gadsden County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Gulf County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Holmes County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Jackson County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Jefferson County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Leon County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Liberty County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Madison County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Okaloosa County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Santa Rosa County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Taylor County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Wakulla County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Walton County,,
Florida,Pensacola-Tallahassee,Pensacola-Tallahassee,Washington County,,
Florida,St. Augustine,St. Augustine,Alachua County,,
Florida,St. Augustine,St. Augustine,Baker County,,
Florida,St. Augustine,St. Augustine,Bradford County,,
Florida,St. Augustine,St. Augustine,Clay County,,
Florida,St. Augustine,St. Augustine,Columbia County,,
Florida,St. Augustine,St. Augustine,Dixie County,,
Florida,St. Augustine,St. Augustine,Duval County,,
Florida,St. Augustine,St. Augustine,Flagler County,,
Florida,St. Augustine,St. Augustine,Gilchrist County,,
Florida,St. Augustine,St. Augustine,Hamilton County,,
Florida,St. Augustine,St. Augustine,Lafayette County,,
Florida,St. Augustine,St. Augustine,Levy County,,
Florida,St. Augustine,St. Augustine,Nassau County,,
Florida,St. Augustine,St. Augustine,Putnam County,,
Florida,St. Augustine,St. Augustine,St. Johns County,,
Florida,St. Augustine,St. Augustine,Suwannee County,,
Florida,St. Augustine,St. Augustine,Union County,,
Florida,St. Petersburg,St. Petersburg,Citrus County,,
Florida,St. Petersburg,St. Petersburg,Hernando County,,
Florida,St. Petersburg,St. Petersburg,Hillsborough County,,
Florida,St. Petersburg,St. Petersburg,Pasco County,,
Florida,St. Petersburg,St. Petersburg,Pinellas County,,
Florida,Venice,Venice,Charlotte County,,
Florida,Venice,Venice,Collier County,,
